Group,n,sex,age,bmi,questionnaire_puffs,inhaler_puffs,rcp3_imputed,rcp3_dropna
Overall (n=22),22,"Female: 17 (77%), Male: 5 (23%)","18-29yo: 3 (14%), 30-39yo: 9 (41%), 40-49yo: 6 (27%), 50+yo: 4 (18%)","Normal: 7 (32%), Pre-obesity: 6 (27%), Obesity: 9 (41%)",3.02 (2.14),4.18 (2.59),1.1 (0.8),1.1 (0.8)
Assessed (n=15),14,"Female: 10 (71%), Male: 4 (29%)","18-29yo: 2 (14%), 30-39yo: 5 (36%), 40-49yo: 4 (29%), 50+yo: 3 (21%)","Normal: 5 (36%), Pre-obesity: 4 (29%), Obesity: 5 (36%)",3.03 (2.02),4.20 (2.60),1.2 (0.8),1.2 (0.8)
Median-Concordant (n=4),4,"Female: 2 (50%), Male: 2 (50%)","30-39yo: 2 (50%), 50+yo: 2 (50%)","Normal: 2 (50%), Pre-obesity: 1 (25%), Obesity: 1 (25%)",3.36 (1.82),5.25 (2.58),1.2 (1.3),1.2 (1.3)
Remaining (n=10),10,"Female: 8 (80%), Male: 2 (20%)","18-29yo: 2 (20%), 30-39yo: 3 (30%), 40-49yo: 4 (40%), 50+yo: 1 (10%)","Normal: 3 (30%), Pre-obesity: 3 (30%), Obesity: 4 (40%)",2.91 (2.07),3.74 (2.48),1.1 (0.6),1.1 (0.6)
