date,correlation,fisher_z,p_value,sample_size,user_key
29,0.8845357106432692,1.3962377315480592,8.932121865801437e-11,30,294
30,0.8605501562757761,1.2954612562506604,1.0754704879836816e-09,30,294
31,0.8799495244477665,1.3755439614107028,1.4963703713235022e-10,30,294
32,0.894944244390594,1.4462267397854023,2.5432242717163864e-11,30,294
33,0.869272248850078,1.3300937685937153,4.6059938601016945e-10,30,294
34,0.8420085083735048,1.2280353273940527,5.474669090129778e-09,30,294
35,0.8374477288356834,1.2125665825206164,7.915251177130004e-09,30,294
36,0.8019608994540958,1.104083125406866,9.944105599946891e-08,30,294
37,0.7746696332525005,1.0319009702544681,5.050056409192482e-07,30,294
38,0.7585505385023757,0.9927925045106818,1.1915270193672788e-06,30,294
39,0.7700602634744859,1.0204758063321149,6.500288422196088e-07,30,294
40,0.7356374364945418,0.9409042579413,3.6265199212425115e-06,30,294
41,0.7101362351355199,0.8874586398607351,1.1040986446557745e-05,30,294
42,0.6645322738707385,0.8008868454536975,6.199945187346669e-05,30,294
43,0.6085491084873762,0.7066139030050629,0.00035955606327251356,30,294
44,0.5482715194201374,0.6159065731285541,0.0017083686204528378,30,294
45,0.6066329667021689,0.7035764200388078,0.00037964671648094925,30,294
46,0.6500761401295921,0.7754305618864735,0.00010096831763117767,30,294
47,0.6287356142987592,0.7393224286567013,0.00019838678817037838,30,294
48,0.6753965986705227,0.8206005290032995,4.2230012241708136e-05,30,294
49,0.6709502883429822,0.8124694699476251,4.9509840892749403e-05,30,294
50,0.6772871248868108,0.8240849821131073,3.94366762837437e-05,30,294
51,0.6772871248868108,0.8240849821131073,3.94366762837437e-05,30,294
52,0.6772871248868108,0.8240849821131073,3.94366762837437e-05,30,294
53,0.6708888847807472,0.8123578000845172,4.9617781409147806e-05,30,294
54,0.6674615783817193,0.8061511644573987,5.598689921803191e-05,30,294
55,0.666686087873559,0.8047539152042055,5.7525634834815225e-05,30,294
56,0.6683600218787648,0.8077732114034003,5.4250282200505955e-05,30,294
58,0.6683600218787648,0.8077732114034003,5.4250282200505955e-05,30,294
59,0.6723732865143552,0.8150620672800636,4.706648293858624e-05,30,294
60,0.6723732865143552,0.8150620672800636,4.706648293858624e-05,30,294
61,0.6723732865143552,0.8150620672800636,4.706648293858624e-05,30,294
62,0.6617754835501941,0.7959659766776663,6.817807418459878e-05,30,294
63,0.655874677047661,0.7855393760169508,8.328469318223507e-05,30,294
64,0.6711288441003884,0.8127942904760448,4.919715245562768e-05,30,294
65,0.6711288441003884,0.8127942904760448,4.919715245562768e-05,30,294
66,0.6679988803843955,0.8071207852195648,5.4942464159867656e-05,30,294
67,0.6711288441003884,0.8127942904760448,4.919715245562768e-05,30,294
68,0.6891788985532163,0.8463901604217473,2.5347839580598295e-05,30,294
69,0.720133272874751,0.9079217678652672,7.238906844634875e-06,30,294
70,0.6712823872007275,0.8130737224087441,4.892968030872551e-05,30,294
71,0.7126295537994949,0.8925065411815446,9.953910144805534e-06,30,294
72,0.7478489966039176,0.9680565191125646,2.0332563100576607e-06,30,294
74,0.7586382089323286,0.9929990140289274,1.1861891794145043e-06,30,294
75,0.7429561764976619,0.9570456564047697,2.573613832541724e-06,30,294
76,0.7520973713692044,0.9777664023196058,1.6498334575495901e-06,30,294
77,0.6835126267593825,0.8356771965307613,3.136917039578355e-05,30,294
78,0.6867823711252687,0.8418399109457642,2.7754790898852875e-05,30,294
79,0.741257593481356,0.9532649443301452,2.7896388222860544e-06,30,294
81,0.7411111426631074,0.9529399643933752,2.8090116547369333e-06,30,294
82,0.7461271121824303,0.9641609177970787,2.2104063370025335e-06,30,294
83,0.7457936984230258,0.963409212221977,2.2462815629521703e-06,30,294
84,0.7619588265098759,1.0008688910909174,9.992955354683278e-07,30,294
86,0.7745226610316653,1.0315335404337789,5.091329759200277e-07,30,294
87,0.7703483860991459,1.0211840980513636,6.399601949503893e-07,30,294
88,0.6876950492137424,0.8435694419807159,2.6814983311463017e-05,30,294
89,0.6671314716131332,0.8055560722309179,5.66373444797484e-05,30,294
90,0.6491549603287101,0.7738368234411449,0.00010406613950909022,30,294
91,0.6491549603287101,0.7738368234411449,0.00010406613950909022,30,294
92,0.6587271244509841,0.7905617079435597,7.564523602996964e-05,30,294
94,0.6637551206245443,0.7994963726442404,6.368847000580357e-05,30,294
95,0.6637551206245443,0.7994963726442404,6.368847000580357e-05,30,294
96,0.6741775702029914,0.8183623908605003,4.41238232347655e-05,30,294
97,0.7281389573921923,0.9247546491488811,5.095443737835162e-06,30,294
102,0.7076268068797761,0.8824144042270433,1.2241917047355918e-05,30,294
103,0.704068095120182,0.8753221458696193,1.4146818939686658e-05,30,294
