world_id,span,absence_case,imputation,duplicates,config_set,correlation_type,measure,min_rows,exclude,threshold,n_concordant,concordant,n_assessed,changed,joiners,leavers
span=D__case=B__k=00,D,B,0,artefact,effective,pearson,median,3,none,0.75,1,917,14,True,,190 702
span=D__case=B__k=00,D,B,0,artefact,effective,pearson,median,3,none,0.9,1,917,14,False,,
span=D__case=B__k=00,D,B,0,artefact,effective,spearman,mean,3,fostair,0.1,7,113 190 294 343 398 473 702,11,True,343,
span=D__case=B__k=00,D,B,0,artefact,effective,spearman,mean,3,fostair,0.25,5,190 294 398 473 702,11,True,,113
span=D__case=B__k=00,D,B,0,artefact,effective,spearman,mean,3,fostair,0.5,0,,11,True,,190 702
span=D__case=B__k=00,D,B,0,artefact,effective,spearman,mean,3,fostair,0.75,0,,11,True,,702
span=D__case=B__k=00,D,B,0,artefact,effective,spearman,mean,3,fostair,0.9,0,,11,False,,
span=D__case=B__k=00,D,B,0,artefact,effective,spearman,mean,3,none,0.1,8,113 190 294 343 398 473 702 939,14,True,343,917
span=D__case=B__k=00,D,B,0,artefact,effective,spearman,mean,3,none,0.25,6,190 294 398 473 702 939,14,True,,113 917
span=D__case=B__k=00,D,B,0,artefact,effective,spearman,mean,3,none,0.5,0,,14,True,,190 702 917
span=D__case=B__k=00,D,B,0,artefact,effective,spearman,mean,3,none,0.75,0,,14,True,,702 917
span=D__case=B__k=00,D,B,0,artefact,effective,spearman,mean,3,none,0.9,0,,14,True,,917
span=D__case=B__k=00,D,B,0,artefact,effective,spearman,mean,5,none,0.1,8,113 190 294 343 398 473 702 939,14,True,343,917
span=D__case=B__k=00,D,B,0,artefact,effective,spearman,mean,5,none,0.25,6,190 294 398 473 702 939,14,True,,113 917
span=D__case=B__k=00,D,B,0,artefact,effective,spearman,mean,5,none,0.5,0,,14,True,,190 702 917
span=D__case=B__k=00,D,B,0,artefact,effective,spearman,mean,5,none,0.75,0,,14,True,,702 917
span=D__case=B__k=00,D,B,0,artefact,effective,spearman,mean,5,none,0.9,0,,14,True,,917
span=D__case=B__k=00,D,B,0,artefact,effective,spearman,mean,20,none,0.1,7,113 294 343 398 473 702 939,10,True,343,190
span=D__case=B__k=00,D,B,0,artefact,effective,spearman,mean,20,none,0.25,5,294 398 473 702 939,10,True,,113 190
span=D__case=B__k=00,D,B,0,artefact,effective,spearman,mean,20,none,0.5,0,,10,True,,190 398 702
span=D__case=B__k=00,D,B,0,artefact,effective,spearman,mean,20,none,0.75,0,,10,True,,190 398 702
span=D__case=B__k=00,D,B,0,artefact,effective,spearman,mean,20,none,0.9,0,,10,False,,
span=D__case=B__k=00,D,B,0,artefact,effective,spearman,mean,37,none,0.1,6,113 294 343 473 702 939,7,True,343,190
span=D__case=B__k=00,D,B,0,artefact,effective,spearman,mean,37,none,0.25,4,294 473 702 939,7,True,,113 190
span=D__case=B__k=00,D,B,0,artefact,effective,spearman,mean,37,none,0.5,0,,7,True,,190 702
span=D__case=B__k=00,D,B,0,artefact,effective,spearman,mean,37,none,0.75,0,,7,True,,190 702
span=D__case=B__k=00,D,B,0,artefact,effective,spearman,mean,37,none,0.9,0,,7,True,,702
span=D__case=B__k=00,D,B,0,artefact,effective,spearman,median,3,none,0.1,8,113 294 343 398 473 702 917 939,14,True,343,190
span=D__case=B__k=00,D,B,0,artefact,effective,spearman,median,3,none,0.25,6,294 398 473 702 917 939,14,True,,113 190
span=D__case=B__k=00,D,B,0,artefact,effective,spearman,median,3,none,0.5,3,398 702 917,14,True,,190 294
span=D__case=B__k=00,D,B,0,artefact,effective,spearman,median,3,none,0.75,1,917,14,True,,190 702
span=D__case=B__k=00,D,B,0,artefact,effective,spearman,median,3,none,0.9,1,917,14,False,,
span=D__case=B__k=00,D,B,0,artefact,effective_lookahead,pearson,mean,3,none,0.1,8,113 294 343 398 473 702 917 939,14,True,343,190
span=D__case=B__k=00,D,B,0,artefact,effective_lookahead,pearson,mean,3,none,0.25,8,113 294 343 398 473 702 917 939,14,True,343 398,190
span=D__case=B__k=00,D,B,0,artefact,effective_lookahead,pearson,mean,3,none,0.5,3,473 702 917,14,True,,294
span=D__case=B__k=00,D,B,0,artefact,effective_lookahead,pearson,mean,3,none,0.75,1,917,14,True,,702
span=D__case=B__k=00,D,B,0,artefact,effective_lookahead,pearson,mean,3,none,0.9,1,917,14,False,,
span=D__case=B__k=00,D,B,0,artefact,effective_lookahead,pearson,median,3,none,0.1,6,113 294 343 473 702 939,14,True,343,190 398 917
span=D__case=B__k=00,D,B,0,artefact,effective_lookahead,pearson,median,3,none,0.25,6,113 294 343 473 702 939,14,True,343,190 398 917
span=D__case=B__k=00,D,B,0,artefact,effective_lookahead,pearson,median,3,none,0.5,2,473 702,14,True,,190 294 917
span=D__case=B__k=00,D,B,0,artefact,effective_lookahead,pearson,median,3,none,0.75,0,,14,True,,702 917
span=D__case=B__k=00,D,B,0,artefact,effective_lookahead,pearson,median,3,none,0.9,0,,14,True,,917
span=D__case=B__k=00,D,B,0,artefact,effective_lookahead,spearman,mean,3,none,0.1,7,113 294 343 398 473 702 939,14,True,343,190 917
span=D__case=B__k=00,D,B,0,artefact,effective_lookahead,spearman,mean,3,none,0.25,6,294 343 398 473 702 939,14,True,343 398 939,113 190 917
span=D__case=B__k=00,D,B,0,artefact,effective_lookahead,spearman,mean,3,none,0.5,0,,14,True,,702 917
span=D__case=B__k=00,D,B,0,artefact,effective_lookahead,spearman,mean,3,none,0.75,0,,14,True,,917
span=D__case=B__k=00,D,B,0,artefact,effective_lookahead,spearman,mean,3,none,0.9,0,,14,True,,917
span=D__case=B__k=00,D,B,0,artefact,effective_lookahead,spearman,median,3,none,0.1,7,113 294 343 473 702 917 939,14,True,343,190 398
span=D__case=B__k=00,D,B,0,artefact,effective_lookahead,spearman,median,3,none,0.25,6,294 343 473 702 917 939,14,True,343,113 190 398
span=D__case=B__k=00,D,B,0,artefact,effective_lookahead,spearman,median,3,none,0.5,2,473 917,14,True,,190 294 702
span=D__case=B__k=00,D,B,0,artefact,effective_lookahead,spearman,median,3,none,0.75,1,917,14,False,,
span=D__case=B__k=00,D,B,0,artefact,effective_lookahead,spearman,median,3,none,0.9,1,917,14,False,,
span=D__case=B__k=01,D,B,1,artefact,all,pearson,mean,3,none,0.1,9,113 190 294 343 398 473 702 917 939,14,True,343,
span=D__case=B__k=01,D,B,1,artefact,all,pearson,mean,3,none,0.25,9,113 190 294 343 398 473 702 917 939,14,True,343 398,
span=D__case=B__k=01,D,B,1,artefact,all,pearson,mean,3,none,0.5,3,473 702 917,14,True,,294
span=D__case=B__k=01,D,B,1,artefact,all,pearson,mean,3,none,0.75,2,702 917,14,False,,
span=D__case=B__k=01,D,B,1,artefact,all,pearson,mean,3,none,0.9,1,917,14,False,,
span=D__case=B__k=01,D,B,1,artefact,all,pearson,median,3,none,0.1,7,113 294 343 398 473 702 939,14,True,343,190 917
span=D__case=B__k=01,D,B,1,artefact,all,pearson,median,3,none,0.25,7,113 294 343 398 473 702 939,14,True,343,190 917
span=D__case=B__k=01,D,B,1,artefact,all,pearson,median,3,none,0.5,3,294 473 702,14,True,,190 917
span=D__case=B__k=01,D,B,1,artefact,all,pearson,median,3,none,0.75,2,473 702,14,True,,917
span=D__case=B__k=01,D,B,1,artefact,all,pearson,median,3,none,0.9,0,,14,True,,917
span=D__case=B__k=01,D,B,1,artefact,all,spearman,mean,3,none,0.1,8,113 190 294 343 398 473 702 939,14,True,343,917
span=D__case=B__k=01,D,B,1,artefact,all,spearman,mean,3,none,0.25,8,113 190 294 343 398 473 702 939,14,True,343 398,917
span=D__case=B__k=01,D,B,1,artefact,all,spearman,mean,3,none,0.5,2,473 702,14,True,,294 917
span=D__case=B__k=01,D,B,1,artefact,all,spearman,mean,3,none,0.75,0,,14,True,,702 917
span=D__case=B__k=01,D,B,1,artefact,all,spearman,mean,3,none,0.9,0,,14,True,,917
span=D__case=B__k=01,D,B,1,artefact,all,spearman,median,3,none,0.1,7,113 294 343 398 473 702 939,14,True,343,190 917
span=D__case=B__k=01,D,B,1,artefact,all,spearman,median,3,none,0.25,7,113 294 343 398 473 702 939,14,True,343,190 917
span=D__case=B__k=01,D,B,1,artefact,all,spearman,median,3,none,0.5,3,294 473 702,14,True,,190 917
span=D__case=B__k=01,D,B,1,artefact,all,spearman,median,3,none,0.75,0,,14,True,,702 917
span=D__case=B__k=01,D,B,1,artefact,all,spearman,median,3,none,0.9,0,,14,True,,917
span=D__case=B__k=01,D,B,1,artefact,effective,pearson,mean,3,none,0.1,8,113 294 343 398 473 702 917 939,14,True,343,190
span=D__case=B__k=01,D,B,1,artefact,effective,pearson,mean,3,none,0.25,7,113 294 398 473 702 917 939,14,True,,190
span=D__case=B__k=01,D,B,1,artefact,effective,pearson,mean,3,none,0.5,3,473 702 917,14,True,,190
span=D__case=B__k=01,D,B,1,artefact,effective,pearson,mean,3,none,0.75,2,702 917,14,False,,
span=D__case=B__k=01,D,B,1,artefact,effective,pearson,mean,3,none,0.9,1,917,14,False,,
span=D__case=B__k=01,D,B,1,artefact,effective,pearson,median,3,none,0.1,7,113 294 343 398 473 702 939,14,True,343,190 917
span=D__case=B__k=01,D,B,1,artefact,effective,pearson,median,3,none,0.25,6,113 294 398 473 702 939,14,True,,190 917
span=D__case=B__k=01,D,B,1,artefact,effective,pearson,median,3,none,0.5,2,473 702,14,True,,190 294 398 917
span=D__case=B__k=01,D,B,1,artefact,effective,pearson,median,3,none,0.75,1,702,14,True,,190 917
span=D__case=B__k=01,D,B,1,artefact,effective,pearson,median,3,none,0.9,0,,14,True,,917
span=D__case=B__k=01,D,B,1,artefact,effective,spearman,mean,3,fostair,0.1,7,113 190 294 343 398 473 702,11,True,343,
span=D__case=B__k=01,D,B,1,artefact,effective,spearman,mean,3,fostair,0.25,6,113 190 294 398 473 702,11,False,,
span=D__case=B__k=01,D,B,1,artefact,effective,spearman,mean,3,fostair,0.5,1,702,11,True,,190
span=D__case=B__k=01,D,B,1,artefact,effective,spearman,mean,3,fostair,0.75,0,,11,True,,702
span=D__case=B__k=01,D,B,1,artefact,effective,spearman,mean,3,fostair,0.9,0,,11,False,,
span=D__case=B__k=01,D,B,1,artefact,effective,spearman,mean,3,none,0.1,7,113 294 343 398 473 702 939,14,True,343,190 917
span=D__case=B__k=01,D,B,1,artefact,effective,spearman,mean,3,none,0.25,6,113 294 398 473 702 939,14,True,,190 917
span=D__case=B__k=01,D,B,1,artefact,effective,spearman,mean,3,none,0.5,1,702,14,True,,190 917
span=D__case=B__k=01,D,B,1,artefact,effective,spearman,mean,3,none,0.75,0,,14,True,,702 917
span=D__case=B__k=01,D,B,1,artefact,effective,spearman,mean,3,none,0.9,0,,14,True,,917
span=D__case=B__k=01,D,B,1,artefact,effective,spearman,mean,5,none,0.1,7,113 294 343 398 473 702 939,14,True,343,190 917
span=D__case=B__k=01,D,B,1,artefact,effective,spearman,mean,5,none,0.25,6,113 294 398 473 702 939,14,True,,190 917
span=D__case=B__k=01,D,B,1,artefact,effective,spearman,mean,5,none,0.5,1,702,14,True,,190 917
span=D__case=B__k=01,D,B,1,artefact,effective,spearman,mean,5,none,0.75,0,,14,True,,702 917
span=D__case=B__k=01,D,B,1,artefact,effective,spearman,mean,5,none,0.9,0,,14,True,,917
span=D__case=B__k=01,D,B,1,artefact,effective,spearman,mean,20,none,0.1,7,113 294 343 398 473 702 939,10,True,343,190
span=D__case=B__k=01,D,B,1,artefact,effective,spearman,mean,20,none,0.25,6,113 294 398 473 702 939,10,True,,190
span=D__case=B__k=01,D,B,1,artefact,effective,spearman,mean,20,none,0.5,1,702,10,True,,190 398
span=D__case=B__k=01,D,B,1,artefact,effective,spearman,mean,20,none,0.75,0,,10,True,,190 398 702
span=D__case=B__k=01,D,B,1,artefact,effective,spearman,mean,20,none,0.9,0,,10,False,,
span=D__case=B__k=01,D,B,1,artefact,effective,spearman,mean,37,none,0.1,6,113 294 343 473 702 939,7,True,343,190
span=D__case=B__k=01,D,B,1,artefact,effective,spearman,mean,37,none,0.25,5,113 294 473 702 939,7,True,,190
span=D__case=B__k=01,D,B,1,artefact,effective,spearman,mean,37,none,0.5,1,702,7,True,,190
span=D__case=B__k=01,D,B,1,artefact,effective,spearman,mean,37,none,0.75,0,,7,True,,190 702
span=D__case=B__k=01,D,B,1,artefact,effective,spearman,mean,37,none,0.9,0,,7,True,,702
span=D__case=B__k=01,D,B,1,artefact,effective,spearman,median,3,none,0.1,7,113 294 343 398 473 702 939,14,True,343,190 917
span=D__case=B__k=01,D,B,1,artefact,effective,spearman,median,3,none,0.25,6,113 294 398 473 702 939,14,True,,190 917
span=D__case=B__k=01,D,B,1,artefact,effective,spearman,median,3,none,0.5,1,702,14,True,,190 294 398 917
span=D__case=B__k=01,D,B,1,artefact,effective,spearman,median,3,none,0.75,0,,14,True,,190 702 917
span=D__case=B__k=01,D,B,1,artefact,effective,spearman,median,3,none,0.9,0,,14,True,,917
span=D__case=B__k=01,D,B,1,artefact,effective_lookahead,pearson,mean,3,none,0.1,9,113 190 294 343 398 473 702 917 939,14,True,343,
span=D__case=B__k=01,D,B,1,artefact,effective_lookahead,pearson,mean,3,none,0.25,9,113 190 294 343 398 473 702 917 939,14,True,343 398,
span=D__case=B__k=01,D,B,1,artefact,effective_lookahead,pearson,mean,3,none,0.5,3,473 702 917,14,True,,294
span=D__case=B__k=01,D,B,1,artefact,effective_lookahead,pearson,mean,3,none,0.75,2,702 917,14,False,,
span=D__case=B__k=01,D,B,1,artefact,effective_lookahead,pearson,mean,3,none,0.9,1,917,14,False,,
span=D__case=B__k=01,D,B,1,artefact,effective_lookahead,pearson,median,3,none,0.1,7,113 294 343 398 473 702 939,14,True,343,190 917
span=D__case=B__k=01,D,B,1,artefact,effective_lookahead,pearson,median,3,none,0.25,7,113 294 343 398 473 702 939,14,True,343,190 917
span=D__case=B__k=01,D,B,1,artefact,effective_lookahead,pearson,median,3,none,0.5,2,473 702,14,True,,190 294 917
span=D__case=B__k=01,D,B,1,artefact,effective_lookahead,pearson,median,3,none,0.75,1,702,14,True,,917
span=D__case=B__k=01,D,B,1,artefact,effective_lookahead,pearson,median,3,none,0.9,0,,14,True,,917
span=D__case=B__k=01,D,B,1,artefact,effective_lookahead,spearman,mean,3,none,0.1,7,113 294 343 398 473 702 939,14,True,343,190 917
span=D__case=B__k=01,D,B,1,artefact,effective_lookahead,spearman,mean,3,none,0.25,7,113 294 343 398 473 702 939,14,True,343 398 939,190 917
span=D__case=B__k=01,D,B,1,artefact,effective_lookahead,spearman,mean,3,none,0.5,1,702,14,True,,917
span=D__case=B__k=01,D,B,1,artefact,effective_lookahead,spearman,mean,3,none,0.75,0,,14,True,,917
span=D__case=B__k=01,D,B,1,artefact,effective_lookahead,spearman,mean,3,none,0.9,0,,14,True,,917
span=D__case=B__k=01,D,B,1,artefact,effective_lookahead,spearman,median,3,none,0.1,7,113 294 343 398 473 702 939,14,True,343,190 917
span=D__case=B__k=01,D,B,1,artefact,effective_lookahead,spearman,median,3,none,0.25,6,294 343 398 473 702 939,14,True,343,113 190 917
span=D__case=B__k=01,D,B,1,artefact,effective_lookahead,spearman,median,3,none,0.5,1,702,14,True,,190 294 473 917
span=D__case=B__k=01,D,B,1,artefact,effective_lookahead,spearman,median,3,none,0.75,0,,14,True,,917
span=D__case=B__k=01,D,B,1,artefact,effective_lookahead,spearman,median,3,none,0.9,0,,14,True,,917
span=D__case=B__k=02,D,B,2,artefact,all,pearson,mean,3,none,0.1,8,113 294 343 398 473 702 917 939,14,True,343,190
span=D__case=B__k=02,D,B,2,artefact,all,pearson,mean,3,none,0.25,8,113 294 343 398 473 702 917 939,14,True,343 398,190
span=D__case=B__k=02,D,B,2,artefact,all,pearson,mean,3,none,0.5,4,398 473 702 917,14,True,398,294
span=D__case=B__k=02,D,B,2,artefact,all,pearson,mean,3,none,0.75,2,702 917,14,False,,
span=D__case=B__k=02,D,B,2,artefact,all,pearson,mean,3,none,0.9,1,917,14,False,,
