Group,n,sex,age,bmi,questionnaire_puffs,inhaler_puffs,rcp3_imputed,rcp3_dropna
Overall (n=22),22,"Female: 17 (77%), Male: 5 (23%)","18-29yo: 3 (14%), 30-39yo: 9 (41%), 40-49yo: 6 (27%), 50+yo: 4 (18%)","Normal: 7 (32%), Pre-obesity: 6 (27%), Obesity: 9 (41%)",3.02 (2.14),4.18 (2.59),1.1 (0.8),1.1 (0.8)
Assessed (n=15),12,"Female: 8 (67%), Male: 4 (33%)","18-29yo: 2 (17%), 30-39yo: 4 (33%), 40-49yo: 3 (25%), 50+yo: 3 (25%)","Normal: 4 (33%), Pre-obesity: 3 (25%), Obesity: 5 (42%)",3.10 (2.01),4.28 (2.59),1.2 (0.8),1.2 (0.8)
Concordant (n=3),3,"Female: 2 (67%), Male: 1 (33%)","30-39yo: 1 (33%), 40-49yo: 1 (33%), 50+yo: 1 (33%)","Normal: 1 (33%), Pre-obesity: 1 (33%), Obesity: 1 (33%)",3.51 (2.00),5.00 (2.73),1.3 (1.3),1.3 (1.3)
Remaining (n=9),9,"Female: 6 (67%), Male: 3 (33%)","18-29yo: 2 (22%), 30-39yo: 3 (33%), 40-49yo: 2 (22%), 50+yo: 2 (22%)","Normal: 3 (33%), Pre-obesity: 2 (22%), Obesity: 4 (44%)",2.92 (2.00),3.76 (2.35),1.2 (0.6),1.2 (0.6)
