Group,n,sex,age,bmi,questionnaire_puffs,inhaler_puffs,rcp3_imputed,rcp3_dropna
Overall (n=22),22,"Female: 17 (77%), Male: 5 (23%)","18-29yo: 3 (14%), 30-39yo: 9 (41%), 40-49yo: 6 (27%), 50+yo: 4 (18%)","Normal: 7 (32%), Pre-obesity: 6 (27%), Obesity: 9 (41%)",3.02 (2.14),4.18 (2.59),1.1 (0.8),1.1 (0.8)
Assessed (n=15),13,"Female: 9 (69%), Male: 4 (31%)","18-29yo: 2 (15%), 30-39yo: 4 (31%), 40-49yo: 4 (31%), 50+yo: 3 (23%)","Normal: 4 (31%), Pre-obesity: 3 (23%), Obesity: 6 (46%)",3.09 (2.01),4.27 (2.59),1.2 (0.7),1.2 (0.7)
Median-Concordant (n=3),3,"Female: 2 (67%), Male: 1 (33%)","30-39yo: 1 (33%), 40-49yo: 1 (33%), 50+yo: 1 (33%)","Normal: 1 (33%), Pre-obesity: 1 (33%), Obesity: 1 (33%)",3.51 (2.00),5.00 (2.73),1.3 (1.3),1.3 (1.3)
Remaining (n=10),10,"Female: 7 (70%), Male: 3 (30%)","18-29yo: 2 (20%), 30-39yo: 3 (30%), 40-49yo: 3 (30%), 50+yo: 2 (20%)","Normal: 3 (30%), Pre-obesity: 2 (20%), Obesity: 5 (50%)",2.91 (1.98),3.74 (2.35),1.2 (0.6),1.2 (0.6)
