Group,n,sex,age,bmi,questionnaire_puffs,inhaler_puffs,rcp3_imputed,rcp3_dropna
Overall (n=22),22,"Female: 17 (77%), Male: 5 (23%)","18-29yo: 3 (14%), 30-39yo: 9 (41%), 40-49yo: 6 (27%), 50+yo: 4 (18%)","Normal: 7 (32%), Pre-obesity: 6 (27%), Obesity: 9 (41%)",3.02 (2.14),4.18 (2.59),1.1 (0.8),1.1 (0.8)
Assessed (n=15),15,"Female: 11 (73%), Male: 4 (27%)","18-29yo: 2 (13%), 30-39yo: 5 (33%), 40-49yo: 5 (33%), 50+yo: 3 (20%)","Normal: 5 (33%), Pre-obesity: 4 (27%), Obesity: 6 (40%)",3.02 (2.01),4.19 (2.60),1.2 (0.8),1.2 (0.8)
Concordant (n=3),3,"Female: 1 (33%), Male: 2 (67%)","18-29yo: 1 (33%), 30-39yo: 1 (33%), 50+yo: 1 (33%)","Normal: 1 (33%), Pre-obesity: 1 (33%), Obesity: 1 (33%)",1.86 (1.67),3.78 (2.93),1.2 (0.9),1.2 (0.9)
Remaining (n=12),12,"Female: 10 (83%), Male: 2 (17%)","18-29yo: 1 (8%), 30-39yo: 4 (33%), 40-49yo: 5 (42%), 50+yo: 2 (17%)","Normal: 4 (33%), Pre-obesity: 3 (25%), Obesity: 5 (42%)",3.08 (2.01),4.23 (2.57),1.2 (0.8),1.2 (0.8)
