Group,n,sex,age,bmi,questionnaire_puffs,inhaler_puffs,rcp3_imputed,rcp3_dropna
Overall (n=22),22,"Female: 17 (77%), Male: 5 (23%)","18-29yo: 3 (14%), 30-39yo: 9 (41%), 40-49yo: 6 (27%), 50+yo: 4 (18%)","Normal: 7 (32%), Pre-obesity: 6 (27%), Obesity: 9 (41%)",3.02 (2.14),4.18 (2.59),1.1 (0.8),1.1 (0.8)
Assessed (n=15),15,"Female: 11 (73%), Male: 4 (27%)","18-29yo: 2 (13%), 30-39yo: 5 (33%), 40-49yo: 5 (33%), 50+yo: 3 (20%)","Normal: 5 (33%), Pre-obesity: 4 (27%), Obesity: 6 (40%)",3.02 (2.01),4.19 (2.60),1.2 (0.8),1.2 (0.8)
Concordant (n=2),2,Male: 2 (100%),"30-39yo: 1 (50%), 50+yo: 1 (50%)","Normal: 1 (50%), Pre-obesity: 1 (50%)",1.44 (0.98),2.65 (1.94),1.1 (1.3),1.1 (1.3)
Remaining (n=13),13,"Female: 11 (85%), Male: 2 (15%)","18-29yo: 2 (15%), 30-39yo: 4 (31%), 40-49yo: 5 (38%), 50+yo: 2 (15%)","Normal: 4 (31%), Pre-obesity: 3 (23%), Obesity: 6 (46%)",3.09 (2.01),4.25 (2.61),1.2 (0.7),1.2 (0.7)
