user_key,n_configurations,n_valid,median_spearman_z,mean_spearman_z,std_spearman_z,min_spearman_z,max_spearman_z,q25_spearman_z,q75_spearman_z,median_pearson_z,mean_pearson_z,p_value,p_bonferroni,significant_bonferroni,significant_uncorrected
294,132,131,0.5547581064501858,0.5200319999535391,0.22120231186967892,-0.0431909845328719,0.8003380819127441,0.43014773628658143,0.6751522994354305,0.5538889254416429,0.5232766422853908,1.0,1.0,False,False
701,132,110,-0.0386130715622365,-0.03502582808342524,0.016974663686991024,-0.0594118039179634,-0.011480837752143,-0.0537880518480778,-0.0187744811783424,-0.0349956355978966,-0.03582862460375603,0.5324467553244675,1.0,False,False
939,132,128,0.285533988163966,0.28484897504698814,0.1698183394883983,-0.1536168805118241,0.4825610509624401,0.2302060922997635,0.4205572479220543,0.378550684509978,0.3425486858299921,0.8612138786121388,1.0,False,False
917,132,122,1.0729483047346626,1.004217126969437,0.35507536737526685,-0.2027325540540822,1.5527678454421534,0.7331685343967134,1.2653430572560522,1.0986122886681098,1.0464740571612892,1.0,1.0,False,False
113,132,131,0.3941991287825258,0.3251160398630817,0.22562759558232778,-0.2848904670071598,0.5940033305123132,0.2061520516133921,0.4969585470133855,0.3831187697137542,0.31721598208387636,1.0,1.0,False,False
447,132,126,-0.121637329775865,-0.12143431497352403,0.1345393708732049,-0.3144127855627291,0.2212528038260073,-0.2250387660136693,-0.0538685624689708,0.0224087765896331,0.0016044538323987394,0.3381661833816618,1.0,False,False
473,132,132,0.6262223868847294,0.5254174148035797,0.3128116720452625,-0.3584694277574684,0.9573036924706266,0.31631464400707465,0.7634633711180908,0.7710684804481681,0.6839580145737727,0.9738026197380262,1.0,False,False
190,132,90,0.6825444206723346,0.3774151750743944,0.5458082177087119,-0.559696751475227,1.0356753060786643,-0.240218647289261,0.8453209745992416,0.6825444206723346,0.3732097718545096,1.0,1.0,False,False
702,132,127,0.8254995325858708,0.7791678663869867,0.5448594109709926,-0.7127084715353064,1.6807175658240705,0.40780597848365024,1.157650306229616,0.8707821794502539,0.8101469291345157,1.0,1.0,False,False
328,132,119,0.1665136672773379,-0.026374925439492273,0.45049499618931726,-0.7454981544974044,0.6411549397302823,-0.3274501502372585,0.4177983151323025,0.0739053751875971,-0.1158008254675228,0.956904309569043,1.0,False,False
625,132,131,0.039831549662569,0.026978564235965733,0.24040838444935422,-0.7833996184862058,0.2995354880353611,-0.1583078252866823,0.2394552254676737,0.0374415456746207,-0.03250129825235642,0.9715028497150284,1.0,False,False
398,126,114,0.2806245498693798,0.20093985449971538,0.6459208320528639,-0.8813735870195429,1.3450151097798535,-0.4335073632452825,0.8210922455030238,0.2806245498693798,0.2009398544997154,0.9998000199980002,1.0,False,False
454,132,128,-0.8618637706078055,-0.7902516524273944,0.25880655006961,-1.090975676126341,0.1682361183106064,-0.986646961044834,-0.5616154912936479,-0.7878196470856901,-0.71581515830175,0.1206879312068793,1.0,False,False
514,132,131,-0.0481648216212946,-0.14801236714472119,0.3558218290554582,-1.094595796259382,0.2999806754398871,-0.4382185580620167,0.1781310463097712,-0.0524667402172692,-0.13977216630518904,0.8768123187681232,1.0,False,False
343,132,132,-0.0674946419478639,-0.04429488651437509,0.5783908176891499,-1.102706899923412,0.8532104145273424,-0.435906414608404,0.5115313421194547,-0.06749464194786385,-0.03518962683739249,0.995900409959004,1.0,False,False
