Group,n,sex,age,bmi,questionnaire_puffs,inhaler_puffs,rcp3_imputed,rcp3_dropna
Overall (n=22),22,"Female: 17 (77%), Male: 5 (23%)","18-29yo: 3 (14%), 30-39yo: 9 (41%), 40-49yo: 6 (27%), 50+yo: 4 (18%)","Normal: 7 (32%), Pre-obesity: 6 (27%), Obesity: 9 (41%)",3.02 (2.14),4.18 (2.59),1.1 (0.8),1.1 (0.8)
Assessed (n=15),15,"Female: 11 (73%), Male: 4 (27%)","18-29yo: 2 (13%), 30-39yo: 5 (33%), 40-49yo: 5 (33%), 50+yo: 3 (20%)","Normal: 5 (33%), Pre-obesity: 4 (27%), Obesity: 6 (40%)",3.02 (2.01),4.19 (2.60),1.2 (0.8),1.2 (0.8)
Median-Concordant (n=4),4,"Female: 2 (50%), Male: 2 (50%)","30-39yo: 2 (50%), 50+yo: 2 (50%)","Normal: 2 (50%), Pre-obesity: 1 (25%), Obesity: 1 (25%)",3.36 (1.82),5.25 (2.58),1.2 (1.3),1.2 (1.3)
Remaining (n=11),11,"Female: 9 (82%), Male: 2 (18%)","18-29yo: 2 (18%), 30-39yo: 3 (27%), 40-49yo: 5 (45%), 50+yo: 1 (9%)","Normal: 3 (27%), Pre-obesity: 3 (27%), Obesity: 5 (45%)",2.91 (2.06),3.73 (2.48),1.1 (0.5),1.1 (0.5)
