Group,n,sex,age,bmi,questionnaire_puffs,inhaler_puffs,rcp3_imputed,rcp3_dropna
Overall (n=22),22,"Female: 17 (77%), Male: 5 (23%)","18-29yo: 3 (14%), 30-39yo: 9 (41%), 40-49yo: 6 (27%), 50+yo: 4 (18%)","Normal: 7 (32%), Pre-obesity: 6 (27%), Obesity: 9 (41%)",3.02 (2.14),4.18 (2.59),1.1 (0.8),1.1 (0.8)
Assessed (n=15),15,"Female: 11 (73%), Male: 4 (27%)","18-29yo: 2 (13%), 30-39yo: 5 (33%), 40-49yo: 5 (33%), 50+yo: 3 (20%)","Normal: 5 (33%), Pre-obesity: 4 (27%), Obesity: 6 (40%)",3.02 (2.01),4.19 (2.60),1.2 (0.8),1.2 (0.8)
Median-Concordant (n=5),5,"Female: 3 (60%), Male: 2 (40%)","30-39yo: 2 (40%), 40-49yo: 1 (20%), 50+yo: 2 (40%)","Normal: 2 (40%), Pre-obesity: 2 (40%), Obesity: 1 (20%)",3.31 (2.04),4.86 (2.76),1.2 (1.1),1.2 (1.1)
Remaining (n=10),10,"Female: 8 (80%), Male: 2 (20%)","18-29yo: 2 (20%), 30-39yo: 3 (30%), 40-49yo: 4 (40%), 50+yo: 1 (10%)","Normal: 3 (30%), Pre-obesity: 2 (20%), Obesity: 5 (50%)",2.89 (1.98),3.70 (2.37),1.2 (0.6),1.2 (0.6)
