Group,n,sex,age,bmi,questionnaire_puffs,inhaler_puffs,rcp3_imputed,rcp3_dropna
Overall (n=22),22,"Female: 17 (77%), Male: 5 (23%)","18-29yo: 3 (14%), 30-39yo: 9 (41%), 40-49yo: 6 (27%), 50+yo: 4 (18%)","Normal: 7 (32%), Pre-obesity: 6 (27%), Obesity: 9 (41%)",3.02 (2.14),4.18 (2.59),1.1 (0.8),1.1 (0.8)
Assessed (n=15),15,"Female: 11 (73%), Male: 4 (27%)","18-29yo: 2 (13%), 30-39yo: 5 (33%), 40-49yo: 5 (33%), 50+yo: 3 (20%)","Normal: 5 (33%), Pre-obesity: 4 (27%), Obesity: 6 (40%)",3.02 (2.01),4.19 (2.60),1.2 (0.8),1.2 (0.8)
Median-Concordant (n=5),5,"Female: 3 (60%), Male: 2 (40%)","18-29yo: 1 (20%), 30-39yo: 2 (40%), 50+yo: 2 (40%)","Normal: 2 (40%), Pre-obesity: 1 (20%), Obesity: 2 (40%)",3.39 (1.85),5.20 (2.67),1.3 (1.1),1.3 (1.1)
Remaining (n=10),10,"Female: 8 (80%), Male: 2 (20%)","18-29yo: 1 (10%), 30-39yo: 3 (30%), 40-49yo: 5 (50%), 50+yo: 1 (10%)","Normal: 3 (30%), Pre-obesity: 3 (30%), Obesity: 4 (40%)",2.89 (2.05),3.67 (2.40),1.1 (0.6),1.1 (0.6)
