Group,n,sex,age,bmi,questionnaire_puffs,inhaler_puffs,rcp3_imputed,rcp3_dropna
Overall (n=22),22,"Female: 17 (77%), Male: 5 (23%)","18-29yo: 3 (14%), 30-39yo: 9 (41%), 40-49yo: 6 (27%), 50+yo: 4 (18%)","Normal: 7 (32%), Pre-obesity: 6 (27%), Obesity: 9 (41%)",3.02 (2.14),4.18 (2.59),1.1 (0.8),1.1 (0.8)
Assessed (n=15),13,"Female: 9 (69%), Male: 4 (31%)","18-29yo: 2 (15%), 30-39yo: 4 (31%), 40-49yo: 4 (31%), 50+yo: 3 (23%)","Normal: 4 (31%), Pre-obesity: 3 (23%), Obesity: 6 (46%)",3.09 (2.01),4.27 (2.59),1.2 (0.7),1.2 (0.7)
Median-Concordant (n=2),2,"Female: 1 (50%), Male: 1 (50%)","30-39yo: 1 (50%), 40-49yo: 1 (50%)","Normal: 1 (50%), Pre-obesity: 1 (50%)",2.80 (2.53),3.75 (2.83),0.6 (0.5),0.6 (0.5)
Remaining (n=11),11,"Female: 8 (73%), Male: 3 (27%)","18-29yo: 2 (18%), 30-39yo: 3 (27%), 40-49yo: 3 (27%), 50+yo: 3 (27%)","Normal: 3 (27%), Pre-obesity: 2 (18%), Obesity: 6 (55%)",3.12 (1.95),4.36 (2.54),1.3 (0.7),1.3 (0.7)
