Group,n,sex,age,bmi,questionnaire_puffs,inhaler_puffs,rcp3_imputed,rcp3_dropna
Overall (n=22),22,"Female: 17 (77%), Male: 5 (23%)","18-29yo: 3 (14%), 30-39yo: 9 (41%), 40-49yo: 6 (27%), 50+yo: 4 (18%)","Normal: 7 (32%), Pre-obesity: 6 (27%), Obesity: 9 (41%)",3.02 (2.14),4.18 (2.59),1.1 (0.8),1.1 (0.8)
Assessed (n=15),12,"Female: 8 (67%), Male: 4 (33%)","18-29yo: 2 (17%), 30-39yo: 4 (33%), 40-49yo: 3 (25%), 50+yo: 3 (25%)","Normal: 4 (33%), Pre-obesity: 3 (25%), Obesity: 5 (42%)",3.10 (2.01),4.28 (2.59),1.2 (0.8),1.2 (0.8)
Median-Concordant (n=2),2,"Female: 1 (50%), Male: 1 (50%)","30-39yo: 1 (50%), 40-49yo: 1 (50%)","Normal: 1 (50%), Pre-obesity: 1 (50%)",2.80 (2.53),3.75 (2.83),0.6 (0.5),0.6 (0.5)
Remaining (n=10),10,"Female: 7 (70%), Male: 3 (30%)","18-29yo: 2 (20%), 30-39yo: 3 (30%), 40-49yo: 2 (20%), 50+yo: 3 (30%)","Normal: 3 (30%), Pre-obesity: 2 (20%), Obesity: 5 (50%)",3.13 (1.96),4.37 (2.53),1.3 (0.8),1.3 (0.8)
