Group,n,sex,age,bmi,questionnaire_puffs,inhaler_puffs,rcp3_imputed,rcp3_dropna
Overall (n=22),22,"Female: 17 (77%), Male: 5 (23%)","18-29yo: 3 (14%), 30-39yo: 9 (41%), 40-49yo: 6 (27%), 50+yo: 4 (18%)","Normal: 7 (32%), Pre-obesity: 6 (27%), Obesity: 9 (41%)",3.02 (2.14),4.18 (2.59),1.1 (0.8),1.1 (0.8)
Assessed (n=15),14,"Female: 10 (71%), Male: 4 (29%)","18-29yo: 2 (14%), 30-39yo: 5 (36%), 40-49yo: 4 (29%), 50+yo: 3 (21%)","Normal: 5 (36%), Pre-obesity: 4 (29%), Obesity: 5 (36%)",3.03 (2.02),4.20 (2.60),1.2 (0.8),1.2 (0.8)
Concordant (n=2),2,Male: 2 (100%),"30-39yo: 1 (50%), 50+yo: 1 (50%)","Normal: 1 (50%), Pre-obesity: 1 (50%)",1.44 (0.98),2.65 (1.94),1.1 (1.3),1.1 (1.3)
Remaining (n=12),12,"Female: 10 (83%), Male: 2 (17%)","18-29yo: 2 (17%), 30-39yo: 4 (33%), 40-49yo: 4 (33%), 50+yo: 2 (17%)","Normal: 4 (33%), Pre-obesity: 3 (25%), Obesity: 5 (42%)",3.10 (2.02),4.26 (2.61),1.2 (0.8),1.2 (0.8)
